.exe	ドットエグゼ
.dll	ドットディーエルエル
.js	ドットジェイエス
.ts	ドットティーエス
.tsx	ドットティーエスエックス
.jsx	ドットジェイエスエックス
.py	ドットパイ
.json	ドットジェイソン
.yaml	ドットヤムル
.yml	ドットヤムル
.md	ドットエムディー
.css	ドットシーエスエス
.html	ドットエイチティーエムエル
.sql	ドットエスキューエル
.env	ドットエンブ
.git	ドットギット
.ps1	ドットピーエスワン
.wav	ドットワブ
.png	ドットピング
.svg	ドットエスブイジー
TypeScript	タイプスクリプト
JavaScript	ジャバスクリプト
Python	パイソン
Node.js	ノードジェイエス
Next.js	ネクストジェイエス
React	リアクト
Vue	ビュー
Svelte	スベルト
Rust	ラスト
Golang	ゴーラング
Ruby	ルビー
Docker	ドッカー
Kubernetes	クバネティス
Terraform	テラフォーム
GraphQL	グラフキューエル
npm	エヌピーエム
yarn	ヤーン
pnpm	ピーエヌピーエム
git	ギット
GitHub	ギットハブ
VSCode	ブイエスコード
Vercel	バーセル
Supabase	スパベース
Firebase	ファイアベース
AWS	エーダブリューエス
Azure	アジュール
Stripe	ストライプ
Slack	スラック
Redis	レディス
Postgres	ポストグレス
MongoDB	モンゴディービー
Prisma	プリズマ
Webpack	ウェブパック
Turbopack	ターボパック
ESLint	イーエスリント
Prettier	プリティア
Jest	ジェスト
Playwright	プレイライト
Storybook	ストーリーブック
Figma	フィグマ
Notion	ノーション
ChatGPT	チャットジーピーティー
Claude	クロード
Codex	コデックス
VOICEVOX	ボイスボックス
FFmpeg	エフエフエムペグ
API	エーピーアイ
REST	レスト
SDK	エスディーケー
CLI	シーエルアイ
GUI	ジーユーアイ
URL	ユーアールエル
SSH	エスエスエイチ
SSL	エスエスエル
TLS	ティーエルエス
HTTP	エイチティーティーピー
HTTPS	エイチティーティーピーエス
JSON	ジェイソン
YAML	ヤムル
XML	エックスエムエル
CSV	シーエスブイ
SQL	エスキューエル
CRUD	クラッド
ORM	オーアールエム
JWT	ジェイダブリューティー
OAuth	オーオース
OIDC	オーアイディーシー
CORS	コルス
DNS	ディーエヌエス
CDN	シーディーエヌ
PR	ピーアール
MCP	エムシーピー
LLM	エルエルエム
RAG	ラグ
SSR	エスエスアール
SSG	エスエスジー
ISR	アイエスアール
HMR	エイチエムアール
DOM	ドム
EOF	イーオーエフ
NULL	ヌル
undefined	アンデファインド
async	エイシンク
await	アウェイト
Promise	プロミス
callback	コールバック
middleware	ミドルウェア
deploy	デプロイ
merge	マージ
commit	コミット
push	プッシュ
pull	プル
fetch	フェッチ
hook	フック
plugin	プラグイン
debug	デバッグ
refactor	リファクタ
config	コンフィグ
export	エクスポート
import	インポート
render	レンダー
component	コンポーネント
template	テンプレート
schema	スキーマ
migration	マイグレーション
query	クエリ
mutation	ミューテーション
cache	キャッシュ
token	トークン
session	セッション
timeout	タイムアウト
error	エラー
warning	ワーニング
stream	ストリーム
buffer	バッファ
thread	スレッド
process	プロセス
runtime	ランタイム
build	ビルド
test	テスト
lint	リント
parse	パース
compile	コンパイル
install	インストール
update	アップデート
upgrade	アップグレード
rollback	ロールバック
staging	ステージング
production	プロダクション
localhost	ローカルホスト
webhook	ウェブフック
workspace	ワークスペース
repository	リポジトリ
branch	ブランチ
worktree	ワークツリー
monorepo	モノレポ
pipeline	パイプライン
container	コンテナ
serverless	サーバーレス
handler	ハンドラー
router	ルーター
proxy	プロキシ
payload	ペイロード
response	レスポンス
request	リクエスト
endpoint	エンドポイント
boolean	ブーリアン
string	ストリング
integer	インテジャー
array	アレイ
object	オブジェクト
interface	インターフェース
module	モジュール
package	パッケージ
library	ライブラリ
framework	フレームワーク
dashboard	ダッシュボード
frontend	フロントエンド
backend	バックエンド
fullstack	フルスタック
jpeg	ジェイペグ
.jpeg	ドットジェイペグ
.jpg	ドットジェイペグ
.gif	ドットジフ
GIF	ジフ
.mp3	ドットエムピースリー
.mp4	ドットエムピーフォー
.pdf	ドットピーディーエフ
PDF	ピーディーエフ
.zip	ドットジップ
.tar	ドットター
.gz	ドットジーゼット
.webp	ドットウェブピー
.ico	ドットアイコ
.woff	ドットウォフ
.ttf	ドットティーティーエフ
.csv	ドットシーエスブイ
.xlsx	ドットエクセル
.pptx	ドットパワポ
.docx	ドットドックス
.log	ドットログ
.conf	ドットコンフ
.ini	ドットイニ
.toml	ドットトムル
.lock	ドットロック
.sh	ドットエスエイチ
.bat	ドットバット
.cmd	ドットシーエムディー
.rs	ドットアールエス
.go	ドットゴー
.rb	ドットアールビー
.php	ドットピーエイチピー
.java	ドットジャバ
.cs	ドットシーシャープ
.swift	ドットスウィフト
.kt	ドットコトリン
.dart	ドットダート
.vue	ドットビュー
.astro	ドットアストロ
Windows	ウィンドウズ
Linux	リナックス
macOS	マックオーエス
Ubuntu	ウブントゥ
Nginx	エンジンエックス
Apache	アパッチ
PowerShell	パワーシェル
Terminal	ターミナル
Homebrew	ホームブルー
winget	ウィンゲット
S3	エススリー
EC2	イーシーツー
Lambda	ラムダ
CloudFlare	クラウドフレア
Netlify	ネットリファイ
Heroku	ヘロク
GitHub Actions	ギットハブアクションズ
CircleCI	サークルシーアイ
Jenkins	ジェンキンス
Ansible	アンシブル
Helm	ヘルム
Grafana	グラファナ
Datadog	データドッグ
Sentry	セントリー
MySQL	マイエスキューエル
SQLite	エスキューライト
DynamoDB	ダイナモディービー
Elasticsearch	エラスティックサーチ
Cassandra	カサンドラ
cookie	クッキー
header	ヘッダー
footer	フッター
navbar	ナブバー
sidebar	サイドバー
modal	モーダル
tooltip	ツールチップ
dropdown	ドロップダウン
carousel	カルーセル
pagination	ページネーション
responsive	レスポンシブ
viewport	ビューポート
breakpoint	ブレイクポイント
animation	アニメーション
transition	トランジション
gradient	グラデーション
flexbox	フレックスボックス
grid	グリッド
margin	マージン
padding	パディング
border	ボーダー
opacity	オパシティ
z-index	ズィーインデックス
Tailwind	テイルウィンド
Bootstrap	ブートストラップ
Sass	サス
SCSS	エスシーエスエス
PostCSS	ポストシーエスエス
XSS	クロスサイトスクリプティング
CSRF	シーサーフ
injection	インジェクション
encryption	エンクリプション
hash	ハッシュ
bcrypt	ビークリプト
firewall	ファイアウォール
sandbox	サンドボックス
WAF	ワフ
Wi-Fi	ワイファイ
Bluetooth	ブルートゥース
IoT	アイオーティー
SaaS	サース
PaaS	パース
IaaS	イアース
DevOps	デブオプス
agile	アジャイル
scrum	スクラム
sprint	スプリント
backlog	バックログ
kanban	カンバン
standup	スタンドアップ
retrospective	レトロスペクティブ
refactoring	リファクタリング
deprecated	デプリケイテッド
legacy	レガシー
boilerplate	ボイラープレート
scaffold	スキャフォールド
snippet	スニペット
syntax	シンタックス
regex	レジェックス
glob	グロブ
cron	クロン
daemon	デーモン
socket	ソケット
polling	ポーリング
throttle	スロットル
debounce	デバウンス
lazy	レイジー
eager	イーガー
singleton	シングルトン
factory	ファクトリー
observer	オブザーバー
iterator	イテレーター
generator	ジェネレーター
decorator	デコレーター
provider	プロバイダー
consumer	コンシューマー
subscriber	サブスクライバー
publisher	パブリッシャー
queue	キュー
stack	スタック
heap	ヒープ
tree	ツリー
graph	グラフ
node	ノード
edge	エッジ
vertex	バーテックス
index	インデックス
cursor	カーソル
pointer	ポインター
reference	リファレンス
instance	インスタンス
constructor	コンストラクター
destructor	デストラクター
abstract	アブストラクト
generic	ジェネリック
polymorphism	ポリモーフィズム
inheritance	インヘリタンス
encapsulation	カプセルカ
microservice	マイクロサービス
monolith	モノリス
orchestration	オーケストレーション
PASS	パス
FAIL	フェイル
SKIP	スキップ
TRUE	トゥルー
FALSE	フォールス
TODO	トゥードゥー
FIXME	フィックスミー
HACK	ハック
SYNC	シンク
CSS	シーエスエス
SSE	エスエスイー
usacon	ウサコン
Deno	ディーノ
Bun	バン
JARVIS	ジャービス
Turborepo	ターボレポ
caching	キャッシング
mutex	ミューテックス
latency	レイテンシー
E2E	イーツーイー
CI/CD	シーアイシーディー
B2B	ビーツービー
B2C	ビーツーシー
P2P	ピーツーピー
2FA	ツーエフエー
i18n	アイエイティーンエヌ
l10n	エルテンエヌ
k8s	ケーエイツ
3D	スリーディー
v2	ブイツー
v3	ブイスリー
v4	ブイフォー
v6	ブイシックス
Web3	ウェブスリー
HTTP/2	エイチティーティーピーツー
HTTP/3	エイチティーティーピースリー
I/O	アイオー
TCP/IP	ティーシーピーアイピー
gRPC	ジーアールピーシー
tRPC	ティーアールピーシー
WebRTC	ウェブアールティーシー
WebGL	ウェブジーエル
WebGPU	ウェブジーピーユー
UUID	ユーユーアイディー
ULID	ユーリッド
UTF-8	ユーティーエフエイト
ASCII	アスキー
Base64	ベースロクジュウヨン
SHA-256	エスエイチエーニゴロ
MD5	エムディーファイブ
AES	エーイーエス
RSA	アールエスエー
TDD	ティーディーディー
BDD	ビーディーディー
DDD	ディーディーディー
MVP	エムブイピー
POC	ピーオーシー
SLA	エスエルエー
KPI	ケーピーアイ
OKR	オーケーアール
FIFO	ファイフォ
LIFO	ライフォ
ACID	アシッド
RPC	アールピーシー
npx	エヌピーエックス
ESM	イーエスエム
CJS	シージェイエス
WASM	ワズム
WSL	ダブリューエスエル
WSL2	ダブリューエスエルツー
IAM	アイエーエム
VPC	ブイピーシー
RDS	アールディーエス
ECS	イーシーエス
EKS	イーケーエス
SQS	エスキューエス
Vue.js	ビュージェイエス
Nuxt.js	ナクストジェイエス
Nuxt	ナクスト
GPT	ジーピーティー
RBAC	アールバック
SOAP	ソープ
breadcrumb	パンクズ
SKILL	スキル
CodeRabbit	コードラビット
Vite	ヴィート
Express	エクスプレス
shadcn	シャドシーエヌ
Material-UI	マテリアルユーアイ
Radix	ラディックス
Anthropic	アンスロピック
OpenAI	オープンエーアイ
Gemini	ジェミニ
gBizINFO	ジービズインフォ
squash	スカッシュ
rebase	リベース
Pull Request	プルリクエスト
Robbits	ロビッツ
auto-fill	オートフィル
DX	ディーエックス
Remix	リミックス
Astro	アストロ
PostgreSQL	ポストグレスキューエル
Clerk	クラーク
CSF	シーエスエフ
CI	シーアイ
CD	シーディー
RLS	アールエルエス
MUI	エムユーアイ
deployment	デプロイメント
throttling	スロットリング
linting	リンティング
cheerio	チェリオ
axios	アクシオス
ms	ミリセック
Client	クライアント
Context	コンテキスト
client-side	クライアントサイド
server-client	サーバークライアント
context window	コンテキストウインドウ
context switch	コンテキストスイッチ
MCP Client	エムシーピークライアント
HTTP Client	エイチティーティーピークライアント
高品質	コウヒンシツ
Batch	バッチ
Planning	プランニング
Agent	エージェント
Issue	イシュー
Reviewer	レビュワー
Review	レビュー
Reviewed	レビュード
Reviewing	レビューイング
Merged	マージド
Merging	マージング
Deployed	デプロイド
Workflow	ワークフロー
Release	リリース
Hotfix	ホットフィックス
Feature	フィーチャー
Milestone	マイルストーン
Assignee	アサイニー
Maintainer	メンテナー
Contributor	コントリビューター
Approval	アプルーバル
Approved	アプルーブド
Comment	コメント
Feedback	フィードバック
Debugging	デバッギング
Bugfix	バグフィックス
Implement	インプリメント
Implementation	インプリメンテーション
Codebase	コードベース
Checkout	チェックアウト
Cherry-pick	チェリーピック
Changelog	チェンジログ
Linter	リンター
Formatter	フォーマッター
Coverage	カバレッジ
Autopilot	オートパイロット
Planner	プランナー
Idle	アイドル
Running	ランニング
Noise	ノイズ
Ratio	レシオ
Threshold	スレッショルド
Attack	アタック
Makeup	メイクアップ
Compressor	コンプレッサー
Filter	フィルター
Rendering	レンダリング
Routing	ルーティング
Listener	リスナー
Trigger	トリガー
Subscription	サブスクリプション
Volume	ボリューム
Cluster	クラスター
Namespace	ネームスペース
Gateway	ゲートウェイ
Throughput	スループット
Bandwidth	バンドウィズ
Retry	リトライ
Fallback	フォールバック
Streaming	ストリーミング
Parsing	パーシング
Parser	パーサー
Serialization	シリアライゼーション
Validation	バリデーション
Authentication	オーセンティケーション
Authorization	オーソライゼーション
Decryption	デクリプション
Hashing	ハッシング
Signing	サイニング
Certificate	サーティフィケート
Credential	クレデンシャル
Permission	パーミッション
Scope	スコープ
Variable	バリアブル
Parameter	パラメーター
Argument	アーギュメント
Property	プロパティ
Attribute	アトリビュート
Override	オーバーライド
Inherit	インヘリット
Dependency	デペンデンシー
Wrapper	ラッパー
Utility	ユーティリティ
Helper	ヘルパー
Settings	セッティングス
Analytics	アナリティクス
Monitoring	モニタリング
Logging	ロギング
